Customer_ID,Recency_Days,Frequency,Monetary,Avg_Order_Value,Total_Quantity,Unique_Products,Tenure_Days,Repeat_Purchase_90d
12346,233,12,77556.46,6463.038333333334,74285,27,400,0
12347,37,6,3402.39,567.0649999999999,2099,107,274,1
12348,156,4,1709.3999999999999,427.34999999999997,2497,25,189,1
12349,315,3,2671.14,890.3800000000001,993,90,181,1
12350,218,1,334.40000000000003,334.40000000000003,197,17,0,0
12351,283,1,300.93,300.93,261,21,0,0
12352,170,7,1905.6100000000001,272.22999999999996,442,38,130,1
12353,112,2,406.76,203.38,212,23,204,0
12354,140,1,1079.4,1079.4,530,58,0,0
12355,122,2,947.61,473.80500000000006,543,35,353,0
12356,153,5,6313.38,1262.676,3411,104,179,1
12357,296,2,12079.99,6039.995,3879,165,0,1
12358,58,4,3203.8700000000003,800.9675,931,56,581,0
12359,97,9,6059.09,673.2322222222223,2095,230,544,1
12360,20,7,3209.11,458.4442857142857,1968,123,543,1
12361,195,4,511.25,127.8125,235,18,394,0
12362,28,5,1877.3500000000001,375.46999999999997,989,89,618,1
12363,17,2,552.0,276.0,408,23,132,0
12364,20,1,623.92,623.92,555,34,0,1
12365,199,2,641.38,320.69,174,22,0,0
12366,541,1,500.24,500.24,296,3,0,0
12368,536,1,917.7,917.7,330,18,0,0
12369,321,3,1791.15,597.05,1241,90,228,0
12370,182,6,3577.28,596.2133333333333,2224,150,394,1
12371,317,3,2179.42,726.4733333333334,845,91,235,1
12372,120,2,914.9200000000001,457.46000000000004,592,32,83,1
12373,219,3,1127.65,375.8833333333334,516,36,362,0
12374,329,3,2246.29,748.7633333333333,1020,47,166,1
12375,6,1,230.3,230.3,87,11,0,1
12376,297,2,503.15,251.575,240,11,28,0
12377,223,4,3426.32,856.58,2105,129,274,0
12378,37,2,5416.32,2708.16,3316,281,432,0
12379,78,3,1227.82,409.2733333333333,619,50,364,1
12380,93,8,7559.04,944.88,2521,125,476,1
12381,27,1,1268.74,1268.74,568,62,0,1
12383,92,5,1850.56,370.11199999999997,1532,84,167,0
12384,29,1,292.69,292.69,62,14,0,1
12385,287,1,1938.4,1938.4,612,65,0,0
12386,245,2,401.9,200.95000000000002,354,10,29,0
12387,323,1,143.94,143.94,134,9,0,0
12388,56,6,2788.79,464.79833333333335,1299,77,434,1
12389,310,3,1433.33,477.77666666666664,614,41,253,0
12391,372,5,2285.18,457.03600000000006,911,159,198,1
12392,499,1,234.75000000000003,234.75000000000003,73,7,0,0
12393,153,5,1877.95,375.59,1017,53,182,1
12394,125,1,381.08,381.08,182,21,0,1
12395,20,11,3602.11,327.4645454545455,2716,122,490,1
12396,582,1,931.4300000000001,931.4300000000001,591,65,0,0
12397,43,1,1214.81,1214.81,704,70,0,1
12399,27,7,1962.3,280.3285714285714,2198,67,525,0
12400,322,1,205.25,205.25,91,11,0,0
12401,211,1,84.3,84.3,11,5,0,0
12402,231,6,1256.9,209.48333333333335,584,43,347,0
12403,429,1,591.6600000000001,591.6600000000001,164,4,0,1
12404,590,1,63.24,63.24,1,1,0,0
12405,56,1,1710.39,1710.39,857,54,0,0
12406,91,4,4596.31,1149.0775,2391,81,513,1
12407,42,4,1407.36,351.84,1237,50,130,1
12408,6,7,3586.27,512.3242857142858,1864,90,399,1
12409,90,5,18553.7,3710.7400000000002,10734,165,382,1
12410,216,3,1013.71,337.90333333333336,341,36,193,0
12411,317,1,346.9,346.9,138,22,0,0
12412,45,5,2260.79,452.158,1767,74,401,1
12413,144,3,805.25,268.4166666666667,238,37,166,1
12414,125,6,952.4100000000001,158.735,495,21,246,0
12415,7,22,121631.72,5528.714545454545,80774,438,428,1
12416,564,1,202.56,202.56,132,11,0,0
12417,14,18,5964.83,331.37944444444446,2561,252,626,1
12418,20,4,2021.2,505.3,1088,90,517,0
12419,293,2,503.01,251.505,231,23,27,0
12421,22,5,920.12,184.024,575,38,390,1
12422,3,17,5231.8,307.7529411764706,2596,137,625,0
12423,8,9,2413.75,268.19444444444446,1590,119,364,0
12424,70,4,3340.0299999999997,835.0074999999999,2025,78,385,0
12425,356,1,964.21,964.21,651,55,0,1
12426,102,2,1345.21,672.605,584,73,468,0
12427,279,1,303.5,303.5,79,10,0,1
12428,28,8,7548.12,943.515,3386,252,163,1
12429,80,7,5298.89,756.9842857142858,2378,107,373,1
12431,27,23,8819.34,383.4495652173913,3802,220,574,1
12432,78,3,4016.66,1338.8866666666665,1427,75,1,1
12433,274,5,7205.39,1441.078,6045,163,110,1
12434,168,2,583.54,291.77,215,34,120,1
12435,175,5,10075.03,2015.006,3782,81,469,1
12436,7,1,509.01,509.01,211,16,0,0
12437,6,32,10543.4,329.48125,6875,230,638,1
12438,48,1,890.0699999999999,890.0699999999999,586,49,0,1
12439,590,2,1142.88,571.44,478,69,43,0
12440,370,2,859.2,429.6,331,21,255,0
12441,274,1,173.55,173.55,121,11,0,0
12443,640,1,485.31,485.31,182,21,0,0
12444,29,2,2627.27,1313.635,650,96,49,1
12445,328,1,301.58000000000004,301.58000000000004,144,20,0,1
12447,151,1,476.49,476.49,190,26,0,0
12449,37,4,2405.48,601.37,1386,80,308,1
12450,64,5,688.2,137.64000000000001,442,31,318,0
12451,126,5,8942.18,1788.4360000000001,6889,259,311,1
12453,42,1,707.09,707.09,473,43,0,0
12454,303,4,13151.44,3287.86,6697,9,25,1
12455,35,9,5589.45,621.05,2979,181,593,1
12456,39,2,2265.4,1132.7,1073,77,123,1
12457,141,4,1699.93,424.9825,648,37,201,1
12458,192,3,1272.01,424.00333333333333,750,58,203,1
12459,513,1,454.36,454.36,258,23,0,0
12460,364,1,326.65,326.65,170,18,0,0
12461,2,2,826.88,413.44,287,35,60,0
12462,211,1,762.11,762.11,287,40,0,1
12463,83,3,985.7900000000001,328.59666666666664,577,51,66,1
12464,14,6,780.55,130.09166666666667,81,6,203,1
12465,77,1,440.94,440.94,294,26,0,1
12466,590,1,56.73,56.73,1,1,0,0
12467,331,1,132.8,132.8,129,9,0,0
12468,95,5,3670.7400000000002,734.1479999999999,2201,127,495,0
12469,430,2,3070.54,1535.27,2552,76,14,0
12470,597,1,211.95,211.95,95,23,0,0
12471,15,68,31210.54,458.9785294117647,12998,213,625,1
12472,46,17,14604.78,859.104705882353,9318,367,587,1
12473,22,2,1175.75,587.875,853,60,77,1
12474,6,26,9410.72,361.9507692307692,5905,285,568,1
12475,317,1,426.26,426.26,236,25,0,1
12476,49,18,10459.16,581.0644444444445,4355,292,360,1
12477,8,6,15890.66,2648.443333333333,4984,276,522,1
12480,51,6,4328.17,721.3616666666667,2341,146,364,1
12481,87,13,10690.95,822.3807692307693,6215,213,427,1
12482,484,29,23691.4,816.944827586207,27042,42,77,0
12483,6,17,4236.26,249.19176470588238,1842,60,578,1
12484,8,10,5485.43,548.543,2936,296,580,1
12485,437,1,708.1,708.1,414,34,0,0
12486,339,1,1037.28,1037.28,523,49,0,0
12487,638,1,285.3,285.3,174,2,0,0
12489,244,1,334.93,334.93,105,15,0,0
12490,1,17,7958.3,468.13529411764705,4852,171,645,1
12492,13,2,578.39,289.195,321,30,297,1
12493,73,2,433.74,216.87,207,20,31,0
12494,69,7,1438.03,205.43285714285713,636,62,414,1
12495,548,1,357.4,357.4,130,17,0,0
12496,528,2,45.34,22.67,30,10,0,0
12497,308,2,5205.400000000001,2602.7000000000003,4449,30,244,1
12499,468,1,393.72,393.72,302,27,0,0
12500,14,14,3471.23,247.945,1969,75,566,1
12501,244,1,2169.39,2169.39,1783,149,0,0
12502,3,5,3723.87,744.774,820,102,214,0
12503,492,1,1126.0,1126.0,561,2,0,0
12504,325,2,297.0,148.5,368,8,179,1
12505,316,1,955.2,955.2,324,42,0,0
12506,140,1,73.5,73.5,23,23,0,0
12507,42,4,1844.06,461.015,1256,46,450,0
12509,192,1,176.5,176.5,55,7,0,0
12510,50,9,5178.02,575.3355555555556,2049,94,592,0
12511,336,1,3084.02,3084.02,1753,190,0,0
12513,20,1,612.29,612.29,462,35,0,0
12514,175,2,1597.76,798.8800000000001,840,76,374,0
12515,261,1,383.7,383.7,131,16,0,0
12516,88,3,1919.76,639.9200000000001,1422,42,418,1
12517,34,2,1521.45,760.725,834,173,63,1
12518,18,1,324.83,324.83,187,18,0,1
12519,384,1,385.70000000000005,385.70000000000005,212,22,0,1
12520,50,4,2045.85,511.4625,1099,104,131,1
12521,50,1,599.68,599.68,309,38,0,0
12523,15,19,3580.33,188.43842105263158,1958,144,624,1
12524,70,15,9762.87,650.8580000000001,5769,138,507,1
12525,406,3,973.73,324.57666666666665,509,56,149,0
12526,2,1,520.3,520.3,318,29,0,1
12527,202,4,671.72,167.93,513,24,234,1
12528,22,4,1287.37,321.8425,503,46,198,1
12529,436,1,316.48,316.48,192,21,0,0
12530,31,8,3318.63,414.82875,2400,85,518,1
12531,594,1,1807.98,1807.98,1074,110,0,1
12533,535,2,1367.89,683.945,704,63,110,0
12534,38,1,1089.18,1089.18,651,63,0,0
12535,94,1,371.45,371.45,115,18,0,1
12537,316,1,732.94,732.94,449,43,0,0
12538,286,1,276.5,276.5,145,13,0,1
12539,170,6,10164.09,1694.015,4089,247,454,1
12540,0,27,18101.11,670.4114814814815,8767,301,639,1
12541,81,2,536.14,268.07,419,27,107,1
12542,392,2,481.88,240.94,522,39,156,0
12543,356,1,980.25,980.25,688,43,0,0
12545,167,1,628.15,628.15,346,34,0,1
12547,105,3,383.58,127.86,309,13,302,0
12548,74,1,95.19999999999999,95.19999999999999,49,5,0,0
12549,483,6,1575.68,262.61333333333334,1366,38,121,0
12551,265,1,168.0,168.0,100,10,0,0
12553,18,9,3336.06,370.67333333333335,1711,96,313,1
12554,356,1,468.5,468.5,240,26,0,0
12555,590,1,129.23,129.23,1,1,0,0
12556,59,1,308.75,308.75,163,60,0,1
12557,66,7,15106.14,2158.02,5462,15,564,1
12559,218,2,561.71,280.855,283,21,8,0
12560,20,2,1436.31,718.155,820,77,30,1
12561,210,1,238.85,238.85,177,16,0,0
12562,34,5,2790.41,558.082,1324,68,308,1
12563,316,1,249.24,249.24,113,13,0,0
12564,169,1,456.90000000000003,456.90000000000003,133,21,0,0
12565,196,1,145.92000000000002,145.92000000000002,80,9,0,0
12567,4,14,10216.18,729.7271428571429,4536,315,570,1
12568,552,1,70.0,70.0,48,5,0,0
12569,0,15,2167.6800000000003,144.51200000000003,857,48,160,1
12570,590,1,77.52,77.52,1,1,0,0
12571,29,1,248.35,248.35,197,14,0,1
12573,135,5,717.41,143.48200000000003,479,107,237,0
12574,223,1,218.45000000000002,218.45000000000002,61,11,0,0
12575,365,2,622.82,311.40999999999997,315,34,69,0
12576,3,7,1763.44,251.92000000000002,1192,97,430,1
12577,267,6,1186.3899999999999,197.73166666666665,856,195,376,1
12578,238,3,3456.6,1152.2,1932,109,113,1
12580,154,2,1052.9,526.45,569,52,329,0
12582,146,4,1980.4,495.1,985,88,338,0
12583,14,21,10542.41,502.0195238095238,6938,117,627,1
12584,35,4,782.59,195.6475,138,27,153,1
12585,142,2,2040.1,1020.05,1279,77,117,0
12586,282,3,1865.73,621.91,608,76,348,1
12588,307,3,743.88,247.96,385,27,198,1
12589,52,7,4180.48,597.2114285714285,1541,107,544,1
12590,119,2,9864.26,4932.13,4283,68,0,0
12591,225,3,1338.95,446.31666666666666,653,63,91,0
12592,0,5,2582.66,516.5319999999999,1875,42,427,0
12593,16,3,418.1,139.36666666666667,206,14,110,0
12594,29,13,4281.79,329.36846153846153,2431,78,525,1
12595,412,1,299.02,299.02,271,19,0,0
12596,150,1,269.95,269.95,156,15,0,1
12597,91,2,1428.81,714.405,675,72,85,1
12598,69,7,3095.39,442.1985714285714,1913,102,487,1
12599,34,12,2121.18,176.76500000000001,1982,42,451,1
12600,20,19,4304.9400000000005,226.57578947368424,1153,48,619,1
12601,97,6,681.26,113.54333333333334,290,24,214,0
12604,169,1,178.5,178.5,137,10,0,1
12605,284,4,1232.95,308.2375,929,63,81,0
12606,590,1,21.0,21.0,1,1,0,0
12608,312,1,415.79,415.79,323,16,0,0
12609,94,8,3109.7400000000002,388.7175,1423,117,533,1
12610,14,2,1256.25,628.125,625,68,19,1
12613,105,9,4935.51,548.39,3272,173,527,1
12614,185,1,315.6,315.6,76,20,0,0
12615,76,5,4084.53,816.9060000000001,2354,167,462,1
12616,3,3,1131.1,377.0333333333333,498,32,293,0
12619,24,6,2227.6,371.26666666666665,1896,33,444,1
12620,112,1,561.66,561.66,434,33,0,1
12621,8,30,20816.57,693.8856666666667,11705,297,568,1
